inquiry_id,name,email,message,status,assigned_agent,assigned_at
1,Alice Johnson,alice@example.com,I’m interested in the property on Main St.,new,,
2,Bob Smith,bob.smith@example.com,Can I schedule a viewing this weekend?,assigned,agent_101,
3,Catherine Lee,catherine.lee@example.com,Do you offer financing options?,resolved,agent_102,
4,Daniel Kim,daniel.kim@example.com,What’s the neighborhood like?,new,,
5,Eva Green,eva.green@example.com,Please send more photos of the kitchen.,assigned,agent_103,
6,Frank White,frank.white@example.com,How old is the roof?,resolved,agent_104,
7,Grace Huang,grace.huang@example.com,Is this still available?,new,,
8,Henry Cole,henry.cole@example.com,Is the price negotiable?,assigned,agent_105,
9,Isabel Torres,isabel.torres@example.com,Can I make an offer online?,new,,
10,Jake Miller,jake.miller@example.com,I have questions about the HOA fees.,resolved,agent_106,
